time	rtt
1619265816.640691	5.04
1619265816.750076	15.4
1619265816.869546	15.5
1619265816.990822	13.0
1619265817.108491	15.9
1619265817.228545	8.74
1619265817.341837	15.3
1619265817.461796	14.3
1619265817.580506	13.1
1619265817.699017	14.8
1619265817.818952	16.4
1619265817.939174	14.4
1619265818.058231	14.2
1619265818.177026	15.6
1619265818.297566	14.1
1619265818.415255	15.7
1619265818.53496	15.2
1619265818.654159	14.5
1619265818.773974	15.7
1619265818.894406	15.3
1619265819.013634	17.0
1619265819.135181	15.6
1619265819.254913	14.8
1619265819.372816	16.3
1619265819.494042	14.9
1619265819.61338	16.0
1619265819.732976	15.3
1619265819.85287	16.5
1619265819.973046	15.7
1619265820.092443	14.2
1619265820.211513	13.5
1619265820.330654	15.7
1619265820.451055	15.6
1619265820.569998	13.6
1619265820.689756	15.0
1619265820.808268	13.7
1619265820.927811	16.0
1619265821.048638	16.4
1619265821.169566	15.4
1619265821.290098	15.3
1619265821.409625	15.0
1619265821.52807	15.9
1619265821.648584	14.4
1619265821.767624	12.4
1619265821.88503	15.4
1619265822.005819	15.1
1619265822.124715	16.5
1619265822.244799	16.6
1619265822.365806	15.7
1619265822.485462	16.1
1619265822.605063	16.2
1619265822.725037	15.3
1619265822.844164	15.8
1619265822.963211	15.6
1619265823.08374	14.2
1619265823.20385	15.1
1619265823.322733	15.2
1619265823.441743	16.6
1619265823.561893	14.9
1619265823.680358	14.9
1619265823.799857	15.9
1619265823.918822	13.8
1619265824.037676	14.9
1619265824.158436	15.6
1619265824.278303	15.1
1619265824.397675	16.1
1619265824.51796	16.2
1619265824.638678	15.7
1619265824.758749	14.8
1619265824.878446	14.8
1619265824.997281	16.4
1619265825.118383	14.7
1619265825.237113	18.0
1619265825.359915	15.0
1619265825.479745	16.5
1619265825.601047	15.2
1619265825.720836	17.2
1619265825.841888	16.5
1619265825.962958	15.9
1619265826.08248	14.6
1619265826.202358	13.9
1619265826.321793	16.6
1619265826.442085	16.2
1619265826.5629	15.0
1619265836.786336	70.4
1619265836.961126	30.0
1619265837.095145	65.5
1619265837.264877	54.2
1619265837.42358	53.5
1619265847.686834	9.27
1619265847.800921	6.59
1619265847.911924	8.71
1619265848.025577	4.63
1619265848.133451	11.1
1619265848.248713	10.6
1619265848.363753	10.6
1619265848.479919	6.37
1619265848.590096	7.15
1619265848.701558	12.2
1619265848.817392	11.9
1619265848.933699	11.2
1619265849.048515	8.64
1619265849.16161	7.9
1619265849.274447	7.99
1619265849.386451	6.18
1619265849.497387	9.07
1619265849.610177	8.91
1619265849.722178	7.5
1619265849.834193	5.41
1619265849.94444	5.31
1619265850.053589	6.2
1619265850.163715	7.57
1619265850.275057	7.5
1619265850.386898	7.78
1619265850.499623	7.81
1619265850.611039	5.66
1619265850.720259	6.26
1619265850.830522	7.56
1619265850.943258	9.46
1619265851.056915	9.49
1619265851.171408	8.1
1619265851.283486	6.25
1619265851.393885	4.98
1619265851.503357	9.89
1619265851.617462	8.77
1619265851.729826	8.61
1619265851.842909	6.22
1619265851.954434	4.79
1619265852.063266	9.87
1619265852.177594	10.0
1619265852.291536	8.78
1619265852.404443	8.07
1619265852.516503	6.92
1619265852.628235	4.56
1619265852.73775	9.45
1619265852.852106	9.46
1619265852.965385	7.7
1619265853.077813	7.26
1619265853.189392	6.55
1619265853.300391	5.58
1619265853.410393	10.5
1619265853.525394	9.1
1619265853.637813	6.65
1619265853.747889	6.65
1619265853.858265	6.04
1619265853.968871	5.79
1619265854.07961	10.7
1619265854.194031	9.76
1619265854.307457	7.85
1619265854.42036	6.85
1619265854.531869	5.52
1619265854.642349	6.63
1619265854.752721	9.24
1619265854.866167	8.58
1619265854.978115	8.79
1619265855.090524	6.45
1619265855.200354	7.32
1619265855.311649	6.21
1619265855.421225	10.1
1619265855.5351	7.55
1619265855.646421	7.49
1619265855.757485	5.98
1619265855.866604	5.44
1619265855.975758	6.48
1619265856.087749	8.5
1619265856.200269	8.58
1619265856.31263	7.12
1619265856.423072	7.1
1619265856.533363	4.02
1619265856.640727	9.97
1619265856.754248	221.0
1619265857.079394	77.0
1619265857.26176	30.0
1619265857.395794	55.0
1619265857.553838	18.0
1619265857.675952	65.1
1619265857.845882	41.9
1619265868.098098	8.7
1619265868.211542	5.37
1619265868.320796	5.82
1619265868.430149	4.52
1619265868.538824	7.11
1619265868.649844	8.05
1619265868.761842	5.6
1619265868.871231	7.24
1619265868.981958	4.6
1619265869.090078	5.68
1619265869.199291	5.06
1619265869.30781	7.09
1619265869.417993	5.87
1619265869.528344	7.99
1619265869.640288	7.29
1619265869.751794	6.08
1619265869.861957	7.94
1619265869.974182	6.18
1619265870.08422	6.83
1619265870.19511	7.87
1619265870.307597	8.92
1619265870.421669	7.9
1619265870.53366	5.9
1619265870.643092	4.99
1619265870.751239	6.7
1619265870.862297	8.18
1619265870.974716	7.32
1619265871.086148	7.66
1619265871.198247	7.89
1619265871.310092	7.66
1619265871.421787	8.67
1619265871.535265	8.88
1619265871.647748	8.28
1619265871.759832	6.97
1619265871.870296	6.47
1619265871.980982	9.71
1619265872.09496	6.62
1619265872.20564	7.42
1619265872.317169	6.81
1619265872.428258	9.22
1619265872.541691	8.79
1619265872.653959	6.1
1619265872.764357	8.0
1619265872.876483	7.41
1619265872.987661	8.68
1619265873.099847	7.38
1619265873.211791	4.18
1619265873.320621	3.35
1619265873.427839	7.31
1619265873.538837	5.56
1619265873.648511	6.99
1619265873.759424	3.95
1619265873.867536	8.28
1619265873.980775	4.79
1619265874.089622	7.11
1619265874.20211	6.24
1619265874.312932	6.99
1619265874.424544	7.32
1619265874.535589	7.4
1619265874.646764	8.5
1619265874.760181	8.47
1619265874.872092	7.18
1619265874.983495	3.31
1619265875.091148	3.99
1619265875.199258	3.62
1619265875.307472	7.63
1619265875.419288	5.39
1619265875.529536	8.57
